County,State,State FIPS Code,County FIPS Code,FIPS,Total Population,Male Population,Female Population,Total Race Responses,White Alone,Black or African American Alone,Hispanic or Latino
Autauga County,Alabama,1,1,1001,59285,28669,30616,59285,43616,11829,2188
Baldwin County,Alabama,1,3,1003,239945,117316,122629,239945,198721,19144,13393
Barbour County,Alabama,1,5,1005,24757,12906,11851,24757,10891,11616,1490
Bibb County,Alabama,1,7,1007,22152,11824,10328,22152,16634,4587,744
Blount County,Alabama,1,9,1009,59292,29934,29358,59292,53062,747,5962
Bullock County,Alabama,1,11,1011,10157,5554,4603,10157,2327,7234,577
Butler County,Alabama,1,13,1013,18807,8656,10151,18807,9622,8411,300
Calhoun County,Alabama,1,15,1015,116141,56151,59990,116141,82465,25515,5150
Chambers County,Alabama,1,17,1017,34450,16080,18370,34450,19089,13697,1270
Cherokee County,Alabama,1,19,1019,25224,12423,12801,25224,23017,948,437
Chilton County,Alabama,1,21,1021,45500,22245,23255,45500,36815,4175,4489
Choctaw County,Alabama,1,23,1023,12525,5872,6653,12525,7101,4782,136
Clarke County,Alabama,1,25,1025,22802,10789,12013,22802,11749,10360,261
Clay County,Alabama,1,27,1027,14188,6835,7353,14188,11424,1840,451
Cleburne County,Alabama,1,29,1029,15254,7652,7602,15254,14158,598,306
Coffee County,Alabama,1,31,1031,54231,26968,27263,54231,38780,8991,5096
Colbert County,Alabama,1,33,1033,57648,27784,29864,57648,44984,9103,1890
Conecuh County,Alabama,1,35,1035,11411,5297,6114,11411,5730,5221,101
Coosa County,Alabama,1,37,1037,10323,5289,5034,10323,6664,3065,245
Covington County,Alabama,1,39,1039,37647,18172,19475,37647,31325,4417,727
Crenshaw County,Alabama,1,41,1041,13144,6366,6778,13144,9280,3071,236
Cullman County,Alabama,1,43,1043,89463,44284,45179,89463,81402,958,4346
Dale County,Alabama,1,45,1045,49516,24398,25118,49516,33971,10504,3431
Dallas County,Alabama,1,47,1047,37536,17409,20127,37536,10207,26467,340
DeKalb County,Alabama,1,49,1049,71946,35969,35977,71946,58471,923,11987
Elmore County,Alabama,1,51,1051,88669,43186,45483,88669,64984,18685,2917
Escambia County,Alabama,1,53,1053,36695,18346,18349,36695,22378,11255,835
Etowah County,Alabama,1,55,1055,103208,50001,53207,103208,79768,15529,5134
Fayette County,Alabama,1,57,1057,16173,7863,8310,16173,13662,1983,184
Franklin County,Alabama,1,59,1059,31978,15776,16202,31978,24208,1287,6341
Geneva County,Alabama,1,61,1061,26726,13107,13619,26726,22539,2311,1353
Greene County,Alabama,1,63,1063,7589,3649,3940,7589,1360,6186,57
Hale County,Alabama,1,65,1065,14749,7045,7704,14749,5666,8225,129
Henry County,Alabama,1,67,1067,17450,8514,8936,17450,12385,4394,374
Houston County,Alabama,1,69,1069,107628,51690,55938,107628,70462,29302,4680
Jackson County,Alabama,1,71,1071,52839,26138,26701,52839,47005,1607,1777
Jefferson County,Alabama,1,73,1073,669744,318051,351693,669744,329852,284390,35103
Lamar County,Alabama,1,75,1075,13809,6772,7037,13809,11954,1282,255
Lauderdale County,Alabama,1,77,1077,95037,45668,49369,95037,79325,9205,3163
Lawrence County,Alabama,1,79,1079,33182,16321,16861,33182,25239,3292,953
Lee County,Alabama,1,81,1081,177663,87729,89934,177663,120347,39670,9335
Limestone County,Alabama,1,83,1083,107577,53922,53655,107577,81012,13720,7785
Lowndes County,Alabama,1,85,1085,10008,4801,5207,10008,2451,7460,27
Macon County,Alabama,1,87,1087,18951,8709,10242,18951,3243,14838,372
Madison County,Alabama,1,89,1089,397135,195432,201703,397135,255048,96369,25948
Marengo County,Alabama,1,91,1091,19027,9012,10015,19027,8571,9768,452
Marion County,Alabama,1,93,1093,29190,14414,14776,29190,26682,1043,879
Marshall County,Alabama,1,95,1095,98712,49059,49653,98712,81021,2579,16360
Mobile County,Alabama,1,97,1097,413162,197771,215391,413162,231919,148900,13778
Monroe County,Alabama,1,99,1099,19580,9455,10125,19580,10513,8260,29
Montgomery County,Alabama,1,101,1101,227197,106958,120239,227197,72196,133683,10796
Morgan County,Alabama,1,103,1103,123742,61066,62676,123742,93264,16262,12626
Perry County,Alabama,1,105,1105,8231,3772,4459,8231,2306,5843,18
Pickens County,Alabama,1,107,1107,18843,9111,9732,18843,10967,7400,1088
Pike County,Alabama,1,109,1109,32953,15718,17235,32953,18472,12320,889
Randolph County,Alabama,1,111,1111,22310,10934,11376,22310,16861,3677,635
Russell County,Alabama,1,113,1113,58858,28041,30817,58858,27421,26800,3382
St. Clair County,Alabama,1,115,1115,92903,45942,46961,92903,78348,9161,2670
Shelby County,Alabama,1,117,1117,226955,110544,116411,226955,173713,29906,16709
Sumter County,Alabama,1,119,1119,12020,5357,6663,12020,3109,8557,100
Talladega County,Alabama,1,121,1121,81170,39466,41704,81170,50918,25750,1879
Tallapoosa County,Alabama,1,123,1123,41070,19970,21100,41070,28233,9607,1137
Tuscaloosa County,Alabama,1,125,1125,234036,113056,120980,234036,142461,74775,12593
Walker County,Alabama,1,127,1127,64886,31859,33027,64886,57003,3958,2253
Washington County,Alabama,1,129,1129,15270,7600,7670,15270,10220,3463,255
Wilcox County,Alabama,1,131,1131,10347,4953,5394,10347,2852,7318,11
Winston County,Alabama,1,133,1133,23637,11799,11838,23637,21927,284,826
Aleutians East Borough,Alaska,2,13,2013,3423,2116,1307,3423,568,206,360
Aleutians West Census Area,Alaska,2,16,2016,5178,3595,1583,5178,1274,273,715
Anchorage Municipality,Alaska,2,20,2020,289069,147620,141449,289069,168578,15280,26953
Bethel Census Area,Alaska,2,50,2050,18487,9885,8602,18487,1617,213,257
Bristol Bay Borough,Alaska,2,60,2060,878,536,342,878,423,5,73
Chugach Census Area,Alaska,2,63,2063,6964,3725,3239,6964,5053,96,359
Copper River Census Area,Alaska,2,66,2066,2626,1330,1296,2626,1403,3,102
Denali Borough,Alaska,2,68,2068,2029,1282,747,2029,1589,21,131
Dillingham Census Area,Alaska,2,70,2070,4780,2467,2313,4780,733,30,164
Fairbanks North Star Borough,Alaska,2,90,2090,95555,51899,43656,95555,67290,3677,7825
Haines Borough,Alaska,2,100,2100,2077,1051,1026,2077,1645,5,83
Hoonah-Angoon Census Area,Alaska,2,105,2105,2313,1321,992,2313,1183,20,250
Juneau City and Borough,Alaska,2,110,2110,31969,16350,15619,31969,20293,236,2234
Kenai Peninsula Borough,Alaska,2,122,2122,59843,31250,28593,59843,47318,337,2547
Ketchikan Gateway Borough,Alaska,2,130,2130,13870,7226,6644,13870,8812,60,730
Kodiak Island Borough,Alaska,2,150,2150,12878,6981,5897,12878,6557,78,1051
Kusilvak Census Area,Alaska,2,158,2158,8277,4431,3846,8277,264,73,136
Lake and Peninsula Borough,Alaska,2,164,2164,1007,545,462,1007,165,23,11
Matanuska-Susitna Borough,Alaska,2,170,2170,110677,57891,52786,110677,86657,1420,5748
Nome Census Area,Alaska,2,180,2180,9925,5189,4736,9925,1402,103,207
North Slope Borough,Alaska,2,185,2185,10891,6647,4244,10891,3444,284,578
Northwest Arctic Borough,Alaska,2,188,2188,7611,4018,3593,7611,795,43,159
Petersburg Borough,Alaska,2,195,2195,3394,1696,1698,3394,2095,50,303
Prince of Wales-Hyder Census Area,Alaska,2,198,2198,5730,3169,2561,5730,2547,21,207
Sitka City and Borough,Alaska,2,220,2220,8393,4367,4026,8393,5163,31,575
Skagway Municipality,Alaska,2,230,2230,1308,532,776,1308,918,29,64
Southeast Fairbanks Census Area,Alaska,2,240,2240,6936,3974,2962,6936,5277,61,402
Wrangell City and Borough,Alaska,2,275,2275,2106,1083,1023,2106,1161,2,116
Yakutat City and Borough,Alaska,2,282,2282,506,333,173,506,125,28,24
Yukon-Koyukuk Census Area,Alaska,2,290,2290,5271,2810,2461,5271,1196,66,109
Apache County,Arizona,4,1,4001,65680,32566,33114,65680,13296,625,4092
Cochise County,Arizona,4,3,4003,125458,63980,61478,125458,83752,4822,43077
Coconino County,Arizona,4,5,4005,144643,71482,73161,144643,82430,2197,22034
Gila County,Arizona,4,7,4007,53610,26803,26807,53610,36305,337,9529
Graham County,Arizona,4,9,4009,38860,20729,18131,38860,25739,498,11769
Greenlee County,Arizona,4,11,4011,9452,4946,4506,9452,6114,139,4396
La Paz County,Arizona,4,12,4012,16605,8577,8028,16605,10183,69,4230
Maricopa County,Arizona,4,13,4013,4491987,2233573,2258414,4491987,2828976,258962,1387720
Mohave County,Arizona,4,15,4015,217420,110104,107316,217420,177142,2519,36295
Navajo County,Arizona,4,17,4017,107744,54109,53635,107744,48887,1264,11466
Pima County,Arizona,4,19,4019,1049947,518998,530949,1049947,664037,37789,379548
Pinal County,Arizona,4,21,4021,449219,233422,215797,449219,296288,22607,131771
Santa Cruz County,Arizona,4,23,4023,48209,23266,24943,48209,20283,118,39875
Yavapai County,Arizona,4,25,4025,241656,119041,122615,241656,199789,1368,36225
Yuma County,Arizona,4,27,4027,207685,107098,100587,207685,100432,3617,133743
Arkansas County,Arkansas,5,1,5001,16773,8198,8575,16773,11816,4319,661
Ashley County,Arkansas,5,3,5003,18722,8864,9858,18722,13110,4606,1157
Baxter County,Arkansas,5,5,5005,42150,20534,21616,42150,39153,159,1157
Benton County,Arkansas,5,7,5007,294541,147765,146776,294541,194407,5357,53388
